name,customer_id,customer_tenure,number_of_services_or_products,average_monthly_usage,last_interaction_date,days_since_last_interaction,number_of_complaints,complaints_resolved_ratio,total_spent,average_transaction_value,outstanding_balance,payment_frequency,discount_or_offer_received,customer_support_calls,account_status,churn_flag
Oliver Brown,0251cb95-ea6d-4b41-8964-818385c70a47,15,8,277.48,2025-04-19,81,8,0.16,5729.31,954.89,4362.02,Monthly,0,4,Suspended,1
Olivia Johnson,49b05c4c-8052-4ec8-abd3-1d934500f877,56,6,308.66,2024-11-12,239,3,0.25,7405.02,673.18,921.4,Monthly,0,8,Active,0
Liam Wilson,65f52997-5b77-42f1-a3ea-30baf0088901,119,3,182.51,2025-02-23,136,7,0.0,7116.09,1186.02,627.86,Quarterly,1,10,Active,0
Emma Brown,1e2c92b7-1f59-432f-8cf0-499293736f0b,76,4,280.02,2025-01-03,187,8,0.09,8819.31,1259.9,369.74,Monthly,1,6,Suspended,1
Liam Davis,00c213e3-3594-4c9a-86d2-2d7d442e39fb,34,8,401.48,2024-08-06,337,10,0.96,1598.37,199.8,4091.1,Monthly,0,6,Active,0
Oliver Wilson,6c75dd15-bda2-4b1c-ac64-8fbae1788240,34,4,372.69,2025-03-25,106,0,0.0,4355.81,871.16,143.42,Monthly,0,11,Active,0
Isabella Williams,526402af-9434-4a10-95a3-1b403e2fb128,31,4,286.5,2025-06-25,14,0,0.0,5323.78,887.3,714.22,Quarterly,1,0,Active,0
Isabella Johnson,5a163583-dff7-418c-bf5e-106bf955e990,82,1,468.63,2024-12-26,195,5,0.4,8942.61,687.89,1439.41,Monthly,0,14,Active,0
James Brown,d4887428-fb12-493e-ac62-ae10abf08ab4,62,6,446.1,2025-02-23,136,8,0.45,8670.63,963.4,1733.67,Bi-Monthly,0,5,Closed,0
Noah Wilson,d94e2599-136a-4c92-b980-f3bc3ec7cb1e,21,3,237.0,2025-06-14,25,7,0.83,1914.45,147.27,1268.35,Bi-Monthly,1,15,Active,0
Ava Wilson,f06e9bba-4a24-4a52-bf02-64b3a68b4bc0,73,5,302.1,2025-04-05,95,3,0.73,4690.39,781.73,4901.56,Quarterly,0,13,Closed,0
William Miller,2a4e13e1-f8ff-4ced-a560-1ec668da5fc7,103,2,452.97,2025-02-19,140,8,0.9,3821.66,382.17,2328.97,Monthly,1,15,Active,0
Emma Miller,5a464807-c984-4d3d-81b6-bf11afa0bdfa,56,2,406.73,2024-10-21,261,2,0.63,6300.3,787.54,1921.68,Quarterly,0,5,Active,0
Isabella Davis,7807cbb9-3e02-4315-b73a-a50d0c7f6990,68,3,360.16,2025-02-02,157,2,0.9,8425.9,648.15,2545.64,Monthly,1,4,Active,0
Isabella Davis,1a3ce48c-726c-44f6-99de-1f5d1dcf4461,21,3,107.74,2024-08-18,325,0,0.0,7898.81,1579.76,1462.58,Quarterly,1,6,Suspended,0
Olivia Jones,56726c7d-7f9c-4779-92df-df53b9279316,66,8,190.44,2025-05-10,60,1,0.49,7727.77,772.78,783.84,Monthly,1,9,Closed,0
Isabella Miller,f3af8c30-bced-4ae6-b5e3-af0b147d3097,80,1,246.74,2025-06-09,30,8,0.07,6352.52,529.38,4231.02,Bi-Monthly,1,11,Suspended,1
Emma Johnson,47956053-deab-463b-9a78-b8ebb826fdd8,66,6,169.48,2024-07-23,351,7,0.81,2686.49,191.89,1945.56,Monthly,1,3,Closed,0
Ava Smith,700d29cd-ac25-4314-a765-bd47e49e7af9,60,5,459.03,2025-07-01,8,8,0.49,8150.41,626.95,2847.13,Quarterly,1,9,Suspended,1
James Moore,86eb34fb-56de-44e6-a0bd-90e153ab3059,19,4,397.69,2025-04-02,98,1,0.04,1612.81,107.52,2747.29,Bi-Monthly,0,8,Suspended,0
Oliver Moore,03f327d3-3cd9-4e75-937c-467554859200,37,7,455.66,2024-09-05,307,3,0.49,7982.41,886.93,957.9,Quarterly,0,11,Closed,0
Sophia Williams,478d7d37-1c93-4482-bcd0-2000796e9a4e,85,8,126.24,2025-01-05,185,8,0.24,9446.74,944.67,822.96,Monthly,0,9,Active,0
Ava Wilson,a60482b1-4d29-4067-9195-c833f1dbcadb,91,7,134.02,2025-02-21,138,5,0.45,6472.62,588.42,775.84,Monthly,1,11,Closed,1
William Miller,174e5d2c-d2f2-48f7-bfce-6597ce83ecde,45,4,214.32,2024-08-22,321,2,0.63,1371.69,91.45,4472.39,Monthly,1,11,Active,0
Isabella Moore,7cf52fed-3a0b-4263-9fe1-a6b2b57dd23d,46,6,227.74,2024-12-19,202,7,1.0,1058.28,70.55,4856.51,Bi-Monthly,1,11,Active,0
Ava Moore,5c036217-77f5-4734-a98c-5173c2427931,58,8,209.41,2025-06-03,36,3,0.04,7586.56,1264.43,356.82,Bi-Monthly,1,6,Closed,1
Emma Brown,91580386-1655-4a60-b998-e924a6336d89,77,2,415.67,2025-05-31,39,8,0.13,6645.42,1329.08,4020.81,Monthly,1,13,Active,0
Noah Williams,028e6257-4e15-4e97-a100-dc524cfa5e36,78,4,208.34,2024-08-19,324,9,0.51,5153.88,468.53,826.52,Monthly,0,4,Active,0
Liam Wilson,56c88cf7-4618-40d7-8515-5d531f4c9f4e,27,8,439.9,2024-12-13,208,0,0.0,4097.83,682.97,3176.6,Bi-Monthly,0,3,Suspended,1
Emma Johnson,494c4ef1-a70f-4998-9818-bf8e8272c543,116,2,430.17,2025-05-07,63,6,0.23,5803.25,446.4,4602.91,Monthly,0,8,Suspended,1
Oliver Williams,0623a5f3-7ce4-4064-be9b-c1eb1bc2218a,23,2,216.8,2024-10-22,260,0,0.0,2266.09,151.07,4183.52,Monthly,1,5,Active,0
James Brown,57b12711-b531-4118-89df-51c73f976f44,115,7,242.8,2025-03-25,106,0,0.0,1623.62,202.95,1354.78,Monthly,0,2,Closed,1
Ava Davis,25ac62af-2e29-4ec9-a7d7-3b33bde3fff6,8,8,438.06,2024-08-16,327,8,0.43,8892.54,684.04,13.44,Bi-Monthly,0,12,Suspended,1
William Jones,4e75d41d-f672-4efb-8b56-e0c23d1a4f53,88,7,135.87,2024-09-09,303,10,0.1,7915.76,719.61,3502.88,Bi-Monthly,1,9,Active,0
Liam Davis,798faa28-52fb-4594-be09-72189d704434,72,8,290.14,2024-11-08,243,7,0.42,8522.98,655.61,1230.88,Bi-Monthly,1,1,Active,0
Sophia Taylor,fdd6f1da-df35-471b-a37d-89ce9f90cae3,106,8,179.6,2025-03-11,120,1,0.71,4609.64,460.96,3451.37,Quarterly,1,3,Active,0
James Moore,0a6d63f0-4538-4f73-8077-2710c0fef575,76,5,165.29,2024-09-23,289,9,0.7,2358.76,235.88,4929.97,Quarterly,1,9,Active,0
Noah Johnson,423ea34c-2178-4582-b874-1fa13f974d36,73,7,338.71,2024-09-23,289,8,0.66,2362.63,196.89,2052.92,Quarterly,1,11,Closed,1
Sophia Jones,90383724-c645-418c-a58e-8e9a8804bc42,54,8,260.31,2024-08-09,334,4,0.01,3723.44,531.92,148.19,Bi-Monthly,1,12,Closed,0
Oliver Davis,c0ce5e25-8a86-44e1-bf90-aa04fd52df1b,107,8,176.93,2025-05-05,65,0,0.0,5493.08,784.73,4119.09,Quarterly,1,9,Suspended,0
William Brown,78b251fa-a694-4af6-930d-5aa6ff7e5aae,101,6,419.66,2025-04-24,76,9,0.74,5242.09,403.24,2428.55,Quarterly,1,4,Suspended,0
Emma Davis,c190ea33-ac53-4182-b7cc-f4edafbb301d,116,1,497.18,2025-02-17,142,0,0.0,6273.37,570.31,2453.21,Monthly,1,15,Suspended,0
Emma Brown,30c71f30-03f2-4e39-917a-7e5d40381656,22,7,178.97,2025-05-21,49,1,0.06,1050.64,116.74,4041.16,Monthly,1,3,Suspended,1
Oliver Jones,1529cb44-9475-4507-bc72-38f90493b4a9,53,5,158.67,2025-03-15,116,3,0.53,9881.28,1235.16,2798.69,Quarterly,0,4,Active,0
James Brown,d0feef7f-acb8-47b3-8006-09d722cb58a2,95,8,440.67,2024-11-28,223,3,0.69,7424.57,674.96,799.69,Bi-Monthly,1,7,Active,0
William Jones,95847fbf-80fd-45ef-9f7b-69ad81829e01,115,3,214.33,2024-09-26,286,4,0.66,2306.4,288.3,574.48,Quarterly,1,2,Suspended,1
William Jones,ac19bfb6-d4b1-46ae-864e-e0b81696c45e,97,2,173.55,2024-11-10,241,0,0.0,6301.59,700.18,1894.74,Monthly,1,15,Active,0
Olivia Smith,83f3308b-534e-4b2b-b054-ebb9d2471d72,49,2,118.73,2024-08-16,327,6,0.68,3755.04,417.23,3356.56,Quarterly,1,4,Active,0
William Brown,5bb119ec-610b-485a-8fb9-16e287c972dc,88,5,431.77,2025-03-03,128,0,0.0,3718.42,619.74,4761.42,Bi-Monthly,1,2,Suspended,1
Olivia Jones,e5c52b95-30de-4575-8e67-6a0adfa028a6,12,6,379.58,2025-04-27,73,0,0.0,2585.65,258.56,1545.56,Quarterly,1,6,Suspended,0
Oliver Moore,94704658-56fc-4eae-aca7-0d4eec09b921,115,6,160.73,2024-09-22,290,5,0.72,1535.16,307.03,645.19,Monthly,0,2,Active,0
Isabella Brown,49a52d3d-1cd4-49c7-b115-afec3c0210e9,52,5,289.1,2024-11-12,239,1,0.65,7873.02,1574.6,699.82,Quarterly,1,9,Closed,1
Sophia Williams,750c6e7c-dda6-409d-ab86-a5ebea2c5303,57,1,277.41,2025-04-05,95,2,0.86,3092.97,618.59,4332.79,Bi-Monthly,0,3,Closed,0
Noah Davis,9bf87bf4-badb-4c6a-ae64-3745051cd006,17,8,443.85,2024-09-11,301,1,0.74,3721.49,265.82,3001.38,Bi-Monthly,1,3,Suspended,1
James Davis,af342d08-ab52-448f-87c2-ea82cd6d33a5,85,3,220.09,2025-03-30,101,5,0.83,5344.02,381.72,1543.21,Bi-Monthly,0,3,Closed,1
Liam Smith,ca7406bb-1160-4160-afd1-4cbc76084f75,24,7,110.09,2024-12-22,199,6,0.8,2321.2,178.55,1809.97,Monthly,1,15,Suspended,0
Liam Johnson,08a903af-77b1-4540-888e-369e1e6331f0,73,4,341.53,2024-12-31,190,9,0.34,2272.3,252.48,4064.68,Quarterly,0,15,Suspended,0
Sophia Davis,a245a5a7-0403-4f81-b8b7-6e58cb84e9e3,97,3,313.69,2025-04-28,72,0,0.0,1465.26,162.81,1169.26,Bi-Monthly,1,15,Closed,1
Isabella Brown,692e2233-0a7f-4519-b459-e786be973fda,96,8,430.36,2025-05-03,67,7,0.73,1597.97,159.8,3581.93,Bi-Monthly,0,4,Suspended,1
Oliver Jones,9eb0d45d-3105-4dd3-a3b3-248d833738ef,4,6,211.76,2024-09-10,302,1,0.36,3231.04,323.1,4983.31,Bi-Monthly,0,1,Active,0
Liam Taylor,bc5a778d-2d05-40a8-ab7f-593275a7cbb9,58,8,275.98,2024-10-11,271,6,0.75,8480.63,605.76,3521.68,Quarterly,0,0,Suspended,0
Emma Williams,5339eeb8-ed60-4c7f-baad-46d50b4c7d32,38,3,269.39,2025-01-28,162,9,0.04,1864.29,155.36,2440.52,Monthly,1,2,Suspended,0
William Jones,e42ccbac-22b8-44cd-816f-85265ea0bd5f,117,6,119.77,2025-05-25,45,1,0.84,7831.59,783.16,2371.98,Quarterly,1,3,Closed,0
Sophia Johnson,2061160d-b3a3-473a-8652-d88934589b92,114,4,414.68,2025-05-08,62,9,0.37,8288.64,592.05,3200.3,Quarterly,0,15,Closed,0
James Moore,336ba44e-449e-4655-b118-f173d2b1cd5c,119,4,115.63,2025-01-26,164,6,0.63,3955.34,263.69,254.88,Quarterly,0,6,Closed,1
Isabella Brown,c72f0775-4498-42bd-aa49-b754705643f9,16,4,387.2,2025-02-16,143,2,0.37,7059.92,543.07,1703.83,Quarterly,0,4,Suspended,1
Emma Taylor,56f5ccfc-82cc-4284-9a52-d01a4a9e6aab,96,4,487.54,2025-01-13,177,7,0.05,6703.99,558.67,1969.4,Bi-Monthly,1,15,Closed,1
Noah Taylor,6d6ed8ac-9663-43c6-a3a1-6d19e260cf1b,115,6,468.73,2025-04-25,75,4,0.33,2877.73,205.55,2957.82,Bi-Monthly,0,6,Active,0
William Brown,969a3692-a5ad-4ead-bdb4-5032e851d594,18,1,213.8,2025-01-18,172,5,0.49,1445.98,206.57,4561.12,Quarterly,1,6,Suspended,0
James Brown,869254ae-ec45-401e-b8e8-118637f60a3c,99,1,129.59,2025-01-25,165,4,0.4,5864.67,451.13,1443.23,Monthly,1,11,Active,0
Liam Smith,22daa6f2-3df0-44e3-966e-cc12a7586aea,88,5,292.33,2025-05-30,40,2,0.99,4671.58,424.69,522.07,Monthly,1,14,Suspended,1
Liam Davis,38ee88c5-3e61-4b76-b057-95219ff4993b,28,8,495.29,2025-03-25,106,0,0.0,5472.43,456.04,2208.08,Monthly,1,14,Suspended,0
Noah Brown,93df5147-a8c7-4a2d-81cc-b156132a76a7,9,2,145.63,2024-07-29,345,10,0.02,9458.18,859.83,1337.95,Bi-Monthly,0,2,Closed,0
Noah Williams,957a2118-42af-49b0-b5ef-db4b1c7a0ce5,64,6,198.82,2024-10-20,262,7,0.37,5968.8,1193.76,3035.88,Bi-Monthly,1,7,Active,0
James Moore,324c10b3-405b-4a02-9c98-03b40d59f29b,23,4,407.26,2024-08-12,331,5,0.97,5556.96,617.44,2158.57,Bi-Monthly,1,5,Closed,1
Liam Wilson,5553b3a1-98b4-4479-a1b3-65c3d647f49d,118,3,239.77,2024-08-03,340,9,1.0,5538.08,426.01,505.58,Bi-Monthly,0,6,Closed,1
Olivia Jones,2b1afe77-cb10-4c8c-b2dd-ebe85d1f9b8f,102,4,378.84,2025-05-04,66,2,0.23,3478.36,434.8,3195.17,Monthly,1,7,Closed,0
Liam Johnson,8e59843c-48a3-4554-9311-1b3ef372299f,112,4,317.22,2025-06-24,15,2,0.92,6126.93,408.46,3213.07,Bi-Monthly,1,12,Suspended,1
Noah Taylor,bdb94d6c-211d-4634-92bb-00fef2d1f096,107,8,282.52,2025-04-19,81,3,0.61,3999.55,499.94,2782.24,Quarterly,1,1,Suspended,1
Sophia Johnson,748b352e-af5e-4a4d-b86c-357cafee4b5f,85,4,279.96,2024-10-23,259,2,0.82,2431.9,270.21,2609.72,Quarterly,0,7,Active,0
Noah Miller,86bea6bc-7cbb-4af2-a013-9f1749b3a412,110,3,487.95,2025-01-01,189,4,0.93,4707.61,672.52,3322.12,Bi-Monthly,1,3,Suspended,0
Oliver Williams,488824b3-c6d8-4248-b33a-fd3a9481fe86,12,6,187.38,2025-05-19,51,4,0.76,5237.28,349.15,3453.16,Quarterly,0,2,Closed,0
Liam Johnson,97893837-adf3-45f2-889c-2a973599cb16,42,7,238.21,2025-02-03,156,3,0.37,7507.59,500.51,4624.57,Quarterly,0,1,Suspended,0
James Williams,e697f8ac-6e35-4cd0-8e0e-6ca6ba45ecfa,5,1,377.65,2024-11-01,250,5,0.4,3467.14,231.14,3532.82,Quarterly,1,7,Active,0
Isabella Miller,26190f4c-58f6-44cd-b614-854e0fdc70ca,120,6,109.49,2024-08-29,314,2,0.73,3770.44,471.31,989.53,Bi-Monthly,1,10,Suspended,1
Isabella Jones,e23f286d-5de3-4716-8f7e-ef60e8ae44c0,34,3,486.9,2024-09-01,311,10,0.72,9389.22,853.57,3004.72,Bi-Monthly,0,11,Suspended,1
Sophia Johnson,d526ab09-5f0f-4fba-abae-b7752a2a95f4,55,1,431.77,2025-03-03,128,0,0.0,9415.75,724.29,3778.61,Bi-Monthly,0,14,Suspended,0
Emma Davis,b0852802-480c-443e-9822-9a761f67c564,74,3,244.56,2024-10-07,275,8,0.75,8804.98,1257.85,1224.24,Bi-Monthly,1,5,Closed,0
James Miller,5797423d-f15e-49eb-a3e4-55b400d47092,66,4,357.23,2024-11-18,233,8,0.16,5884.42,490.37,2027.03,Quarterly,1,15,Closed,1
Isabella Williams,838e4b19-0043-421f-afac-7130524f7714,54,4,119.55,2025-01-29,161,1,0.13,9368.82,669.2,4343.98,Bi-Monthly,1,9,Suspended,1
Liam Davis,f5577c3a-fb44-46f7-9448-39fb8cda9af7,84,7,122.69,2024-07-25,349,0,0.0,9077.13,825.19,3885.99,Quarterly,1,10,Suspended,0
Emma Miller,e8a5bf25-ba7e-4c81-9582-cf4c5664c8b8,100,1,489.12,2024-12-25,196,0,0.0,1526.96,218.14,3565.13,Monthly,1,7,Closed,1
Isabella Jones,0afdfb81-f678-437c-8393-a9a229732177,106,5,479.19,2025-02-23,136,0,0.0,6674.19,741.58,1742.12,Quarterly,0,13,Active,0
Ava Johnson,8947eb63-c7ff-4eba-9f5d-70934d1fe4ed,93,7,252.54,2025-04-20,80,8,0.9,6884.48,529.58,2778.34,Monthly,0,2,Closed,1
Ava Wilson,787e4cae-b6d7-4aff-b9a6-aeaed4fb0047,61,7,314.64,2025-03-21,110,0,0.0,4388.87,877.77,4631.27,Quarterly,0,12,Suspended,0
Noah Smith,c37b1876-747b-432a-9471-e642e86c6699,43,4,106.34,2025-04-25,75,0,0.0,8817.78,881.78,4100.79,Bi-Monthly,0,12,Active,0
Emma Johnson,ad780bb5-26fe-457e-a92a-761877e628de,22,4,141.38,2024-08-20,323,9,0.56,7005.7,1167.62,4461.86,Quarterly,0,15,Active,0
Ava Davis,1b3d7fc4-5d9d-49e5-98c6-9b765330f1cd,85,4,456.13,2024-10-28,254,8,0.23,1801.39,150.12,3339.47,Monthly,0,4,Closed,1
Liam Wilson,8e881041-5aca-4113-878f-6161282b9daa,54,3,262.82,2024-10-24,258,4,0.71,7345.04,1049.29,1934.91,Quarterly,1,11,Suspended,0
Olivia Jones,b867e5f8-e8e5-4a3d-b37e-b7ca12d18208,34,6,498.71,2025-01-23,167,2,0.59,4580.05,508.89,2466.79,Monthly,0,1,Closed,1
Emma Miller,b930bff8-bf3b-4951-a212-9789383e6a5e,28,4,417.84,2025-04-25,75,2,0.07,2826.79,256.98,4674.43,Monthly,1,1,Suspended,1
Noah Smith,1f9e56ac-e8b9-48e2-87a8-4c318f10abcd,70,3,409.01,2024-12-19,202,2,0.06,5431.91,362.13,3190.63,Bi-Monthly,1,10,Active,0
James Davis,9660afac-4b23-4294-bc10-e8fc537adb59,66,2,114.72,2024-07-14,360,6,0.5,1929.31,214.37,4998.81,Monthly,1,3,Closed,1
Noah Williams,5120b3cf-6241-4b87-a9e0-4b23fafbc677,61,7,498.12,2024-12-09,212,0,0.0,2859.97,571.99,3190.48,Monthly,0,14,Suspended,1
Isabella Johnson,0bd03487-3ed8-43ec-a818-c75720f43934,17,8,356.38,2025-04-17,83,10,0.21,9533.26,1191.66,4446.43,Bi-Monthly,1,1,Active,0
William Williams,30532234-4f11-4fab-a27f-55b88190a4d6,16,3,293.21,2024-08-24,319,6,0.96,6635.6,947.94,942.04,Quarterly,1,2,Closed,1
Emma Brown,8f906bbe-2b41-4002-9011-73519a627576,29,3,182.3,2025-03-29,102,2,0.35,2319.58,231.96,643.87,Quarterly,0,4,Active,0
William Brown,4c698fc4-bb8e-490f-9e15-a2e9f567c2de,68,8,179.77,2024-07-22,352,0,0.0,2817.2,201.23,1666.27,Bi-Monthly,0,5,Active,0
Ava Smith,2d9c61e7-8c82-403f-8cb4-d6e2dbc65d0f,9,7,219.5,2025-01-09,181,10,0.54,5154.35,396.49,2409.9,Monthly,0,0,Suspended,0
William Brown,60739c48-f72f-4634-9062-f914c50d73a2,77,7,225.69,2025-05-12,58,3,0.74,3449.73,431.22,1993.47,Bi-Monthly,0,0,Suspended,1
Ava Miller,89a7e163-51af-4d39-9cef-d6e556694072,13,2,381.1,2024-10-01,281,5,0.73,1825.76,228.22,3564.12,Monthly,0,0,Closed,0
Liam Jones,e9379e25-c077-4b5f-911b-d3308f1717f8,93,4,101.6,2025-04-25,75,8,0.34,8061.86,1151.69,4597.25,Bi-Monthly,1,15,Suspended,0
Olivia Williams,94d3ddee-3d6d-4e5b-a28c-c9fdc96d5c81,33,7,432.88,2025-05-20,50,2,0.44,6537.83,466.99,3486.87,Monthly,0,6,Active,0
James Miller,afe99ebd-722b-42b1-a083-d87d3b05641c,94,5,249.53,2024-11-30,221,10,0.99,5867.59,651.95,3196.41,Monthly,0,13,Suspended,1
Oliver Jones,03ed84d4-b442-4505-9992-a23ec1608530,23,2,428.91,2024-10-07,275,4,0.27,2963.81,246.98,3319.26,Bi-Monthly,0,0,Active,0
James Smith,187670ba-7b06-44fc-986a-3ae036e7a89c,89,5,393.23,2024-11-25,226,2,0.97,8326.36,1040.8,159.95,Bi-Monthly,0,15,Active,0
Emma Jones,1c383ba1-713c-4884-81db-23b6c50f916a,62,5,384.89,2024-07-22,352,9,0.14,8609.87,956.65,3501.76,Bi-Monthly,0,5,Closed,1
Ava Williams,5e4ffae0-afa0-4f66-b5cf-e94632dafa40,35,6,190.55,2024-12-15,206,2,0.46,3878.62,554.09,4291.78,Quarterly,1,0,Active,0
Noah Jones,9062cf61-1e43-4f40-9300-065fce1f6ffb,1,8,278.92,2024-12-12,209,7,0.24,3750.44,625.07,4026.29,Quarterly,0,8,Closed,1
Liam Davis,a03c65f8-4841-45bf-b5a6-f6fb5a0f257a,49,1,479.55,2024-12-14,207,2,0.06,7788.97,556.36,2275.12,Bi-Monthly,1,12,Suspended,1
Isabella Moore,daee497e-e406-4d37-8406-37af80bc490b,24,2,380.57,2025-04-04,96,9,0.72,5583.83,1116.77,2595.87,Quarterly,0,9,Closed,1
Ava Jones,6c9345fb-dd6f-418f-a7d5-ec8b61c5964e,83,7,101.34,2024-12-03,218,3,0.64,9894.99,1413.57,3416.89,Bi-Monthly,0,3,Active,0
Oliver Wilson,dc6d55b7-c708-4e3d-931a-11db4bf30a27,27,1,368.39,2024-11-08,243,0,0.0,7141.16,1190.19,2030.78,Bi-Monthly,0,3,Closed,1
Olivia Brown,03d77b1e-1b1d-411f-acba-a0c83098671d,44,7,130.42,2025-03-13,118,5,0.27,6838.36,759.82,4915.08,Bi-Monthly,1,9,Active,0
Liam Williams,9191efc5-888a-4990-92f7-952e3da88760,80,8,136.61,2025-07-06,3,1,0.78,3725.49,372.55,3418.62,Monthly,0,13,Closed,0
Isabella Miller,2aebe8a7-61c9-4abc-b901-3a479ae0dabd,61,4,477.4,2024-09-10,302,8,0.19,6301.67,630.17,2276.06,Monthly,1,10,Active,0
Sophia Williams,75403f3b-0dbd-4307-a13a-063f275489f7,106,1,396.44,2025-01-23,167,0,0.0,5968.16,663.13,3268.96,Quarterly,0,1,Closed,0
Noah Wilson,7a62e43f-935b-46e5-a6e1-c33d146328a2,13,4,281.71,2024-08-01,342,0,0.0,1316.64,119.69,2543.45,Monthly,0,9,Suspended,1
James Johnson,943cbac7-32bb-4529-a564-a5ef8206c075,90,6,394.6,2024-07-22,352,0,0.0,2503.55,227.6,1672.25,Monthly,1,4,Suspended,0
Liam Miller,6ac45913-36d1-4105-8e71-1581db7a69b9,113,5,376.76,2025-05-14,56,3,0.58,7582.45,758.25,924.32,Bi-Monthly,0,13,Suspended,0
Isabella Miller,b40e4263-6030-4530-9c1f-9220ca78d7f5,108,3,323.03,2024-08-13,330,1,0.9,6139.26,1227.85,4547.4,Bi-Monthly,0,8,Closed,0
Liam Smith,f46c7395-c94b-48f4-92d2-c104c799af2e,63,7,239.92,2025-01-19,171,9,0.28,1542.09,257.01,2872.71,Monthly,0,13,Suspended,0
Sophia Johnson,85d2434f-7520-4c82-ada5-0ba94b2972c6,8,3,101.38,2024-08-03,340,7,0.39,2384.63,183.43,134.91,Quarterly,1,14,Active,0
Noah Taylor,33901514-5e99-4fdd-941e-0ca07a360a69,96,8,246.7,2024-11-02,249,6,0.6,9835.52,1092.84,884.81,Bi-Monthly,1,14,Suspended,0
Emma Johnson,f03a57a6-2276-47e2-8b69-71e7e34e8137,80,6,397.42,2025-05-29,41,0,0.0,4091.84,818.37,4887.46,Monthly,0,1,Closed,1
Oliver Williams,d5362634-809f-423a-b394-01751b1d5791,56,1,486.17,2025-02-13,146,9,0.9,4481.14,746.86,403.23,Quarterly,0,8,Active,0
James Miller,9e71f977-24ad-49d7-85df-4cb811d61348,24,3,398.22,2024-11-02,249,2,0.34,4743.64,948.73,4396.12,Bi-Monthly,0,11,Suspended,0
Olivia Moore,3c0237f6-a7c9-4e81-b132-2e4eaeea369a,7,3,311.66,2024-10-16,266,8,0.18,3809.33,423.26,839.64,Bi-Monthly,0,14,Closed,0
Isabella Wilson,5181d166-dfbf-411d-90de-f185d953f6e6,14,1,281.61,2024-10-23,259,8,0.38,5675.7,405.41,1649.44,Monthly,0,3,Suspended,0
Oliver Miller,1b7ae92d-b73c-47fc-acd4-9b5360b5c153,20,6,250.73,2025-06-04,35,6,0.8,7824.62,978.08,3209.59,Bi-Monthly,1,0,Closed,1
Noah Brown,25e86260-2993-43d7-ae3a-be16bb940cce,66,2,499.67,2025-05-26,44,9,0.29,5024.05,628.01,3067.11,Bi-Monthly,1,2,Suspended,0
Emma Brown,189658a0-2e73-4bde-9938-5f6cad15356f,94,2,434.01,2025-04-22,78,10,0.54,9515.95,1903.19,900.75,Bi-Monthly,1,5,Suspended,0
Isabella Moore,d30052bd-1383-47fc-a428-812c8d28ffe2,106,3,441.8,2025-02-09,150,3,0.06,9178.77,1835.75,396.9,Bi-Monthly,0,10,Active,0
Olivia Brown,b5a79c52-b28d-4268-b047-2cbd3d1d50d0,120,7,177.87,2025-01-27,163,1,0.15,4030.62,447.85,2131.9,Bi-Monthly,0,10,Suspended,0
James Jones,3c3db48f-8924-4aad-9c76-12ddd1f3cc09,117,1,385.85,2024-11-06,245,9,0.08,6151.77,410.12,1289.76,Quarterly,1,4,Suspended,0
Emma Williams,de1deceb-7355-4f06-ab09-c69b519632ab,109,8,125.73,2024-11-28,223,5,0.53,8484.47,848.45,3379.15,Bi-Monthly,0,4,Closed,0
Ava Miller,0f8d3870-301d-4426-bc12-0b8cf86a7367,53,4,370.63,2024-08-16,327,3,0.39,7306.53,730.65,3269.77,Monthly,1,12,Suspended,1
James Miller,80d6dbd0-65c9-4bfd-9b1a-b83a40d73696,47,2,281.0,2025-01-26,164,10,0.26,2611.06,261.11,1186.41,Bi-Monthly,1,2,Closed,1
Olivia Taylor,5b19379d-e472-47a9-8fcb-a8435935f92d,52,5,152.49,2025-03-23,108,1,0.49,8228.58,1175.51,4138.96,Monthly,1,7,Closed,1
James Johnson,969ddf2c-0cdd-4807-86b4-96f2ec607530,40,2,482.25,2025-03-28,103,0,0.0,9348.66,1168.58,4328.34,Monthly,0,14,Closed,1
Sophia Jones,3f0b3076-3dbc-49fc-a565-2fe3e7db657c,117,3,462.36,2025-02-28,131,1,0.96,3691.29,461.41,1559.11,Monthly,1,10,Active,0
Oliver Johnson,12ec88d1-8a8a-4229-ace7-beba4fde5801,106,8,150.1,2024-08-07,336,1,0.29,3822.44,764.49,551.02,Quarterly,0,7,Suspended,0
Oliver Johnson,ea32cfe3-4f44-4698-98a5-36bc19a33696,38,1,243.68,2024-07-30,344,9,0.14,6854.21,489.59,4887.49,Monthly,1,13,Closed,1
Liam Taylor,9f5515d8-1784-4bef-816c-70685ce1a929,109,4,170.04,2024-08-03,340,9,0.68,7504.65,577.28,1608.55,Monthly,0,14,Active,0
Ava Jones,1d6ebcde-2a28-48c8-9868-b5c5ffe7429e,20,3,161.08,2025-04-12,88,7,0.47,2991.02,373.88,4375.32,Monthly,1,10,Active,0
Sophia Wilson,599e77e3-305f-491c-a7b6-e14cec613a80,114,8,184.11,2025-02-16,143,7,0.48,7365.8,818.42,4857.1,Monthly,1,3,Closed,1
Emma Johnson,e60c0d74-14a6-45e7-8460-8d83e605a90a,110,5,461.08,2024-11-19,232,1,0.06,7880.83,788.08,737.69,Monthly,0,4,Active,0
Oliver Johnson,d925535d-d27b-4624-ad91-7d37d455d6a2,50,1,340.37,2024-12-07,214,8,0.25,7851.3,1308.55,1341.42,Bi-Monthly,0,13,Active,0
